ctr;country;pdi;idv;mas;uai;ltowvs;ivr
THA;Thailand;64;20;34;64;32;45
TRI;Trinidad and Tobago;47;16;58;55;13;80
TUR;Turkey;66;37;45;85;46;49
USA;U.S.A.;40;91;62;46;26;68
UGA;Uganda;#осярн!;#осярн!;#осярн!;#осярн!;24;52
UKR;Ukraine;#осярн!;#осярн!;#осярн!;#осярн!;86;14
URU;Uruguay;61;36;38;100;26;53
VEN;Venezuela;81;12;73;76;16;100
VIE;Vietnam;70;20;40;30;57;35
ZAM;Zambia;#осярн!;#осярн!;#осярн!;#осярн!;30;42
ZIM;Zimbabwe;#осярн!;#осярн!;#осярн!;#осярн!;15;28
